Family	Subclass	Ambler_class	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
blaACT	BETA-LACTAM	bla-C	0	0	1	1	1	2	3	3	5	6	6	7	7
blaAER	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaAQU	BETA-LACTAM	bla-C	0	0	0	1	1	1	1	1	1	1	1	1	1
blaARL	BETA-LACTAM	bla-A	0	0	0	0	0	0	0	6	6	6	6	6	6
blaAST	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaBAT	BETA-LACTAM	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1
blaBCL	BETA-LACTAM	bla-A	0	0	0	0	0	1	1	1	1	1	1	1	1
blaBPU	BETA-LACTAM	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1
blaBRO	BETA-LACTAM	bla-A	2	2	2	2	2	2	2	2	2	2	2	2	2
blaBSU	BETA-LACTAM	bla-D	0	0	0	1	1	1	1	1	1	1	1	1	1
blaBUT	BETA-LACTAM	bla-C	1	1	1	1	1	1	1	1	2	2	2	2	2
blaCARB	BETA-LACTAM	bla-A	1	1	1	2	12	30	30	30	30	30	30	32	32
blaCBP	BETA-LACTAM	bla-A	0	0	0	0	0	1	1	1	1	1	1	1	1
blaCDD	BETA-LACTAM	bla-D	0	0	0	2	2	2	2	2	2	2	2	2	2
blaCKO	BETA-LACTAM	bla-A	3	3	3	3	3	3	3	3	3	3	3	3	3
blaCMH	BETA-LACTAM	bla-C	0	0	1	1	1	2	3	3	5	6	6	7	7
blaCSP	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaDES	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaFAR	BETA-LACTAM	bla-A	0	0	0	0	0	0	1	1	1	1	1	1	1
blaFONA	BETA-LACTAM	bla-A	7	7	7	7	7	7	7	7	7	7	7	7	7
blaHER	BETA-LACTAM	bla-A	7	7	7	7	7	7	7	7	7	7	7	7	7
blaGIL	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaFTU	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaLCR	BETA-LACTAM	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1
blaLEN	BETA-LACTAM	bla-A	16	17	18	20	21	28	29	31	40	40	40	40	40
blaLHK	BETA-LACTAM	bla-C	7	7	7	7	7	7	7	7	7	7	7	7	7
blaLAP	BETA-LACTAM	bla-A	2	2	2	2	2	2	2	2	2	2	2	2	2
blaLUS	BETA-LACTAM	bla-A	0	0	0	0	0	1	1	1	1	1	1	1	1
blaNPS	BETA-LACTAM	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOKP	BETA-LACTAM	bla-A	32	32	32	34	34	35	35	38	42	43	43	43	43
blaOKP-A	BETA-LACTAM	bla-A	16	16	16	17	17	17	17	17	17	17	17	17	17
blaOKP-B	BETA-LACTAM	bla-A	16	16	16	17	17	18	18	21	25	26	26	26	26
blaOKP-C	BETA-LACTAM	bla-A	0	0	0	0	0	0	0	0	1	1	1	1	1
blaOKP-D	BETA-LACTAM	bla-A	0	0	0	0	0	0	0	0	1	1	1	1	1
blaORN	BETA-LACTAM	bla-A	6	6	6	6	6	6	6	6	6	6	6	6	6
blaOXA	BETA-LACTAM	bla-D	35	45	50	64	68	93	106	128	305	392	422	505	553
blaOXY	BETA-LACTAM	bla-A	24	24	27	27	27	27	27	27	27	27	27	27	27
blaOXA-PR	BETA-LACTAM	bla-D	17	18	28	36	36	43	46	47	50	57	60	68	68
blaPAU	BETA-LACTAM	bla-A	0	0	0	0	0	0	1	1	1	1	1	1	1
blaPLA	BETA-LACTAM	bla-A	6	6	6	6	6	6	6	6	6	6	6	6	6
blaPSE	BETA-LACTAM	bla-A	9	9	9	9	9	9	10	10	10	12	13	14	14
blaPSV	BETA-LACTAM	bla-A	0	0	0	0	0	0	1	1	1	1	1	1	1
blaRTG	BETA-LACTAM	bla-A	3	3	4	5	5	5	6	6	7	7	7	7	7
blaRUB	BETA-LACTAM	bla-A	0	0	0	0	0	0	1	1	1	1	1	1	1
blaSCO	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSED	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSGM	BETA-LACTAM	bla-A	1	2	6	6	6	7	7	7	7	7	7	7	7
blaSHV	BETA-LACTAM	bla-A	56	58	74	79	82	89	94	100	126	126	126	128	128
blaSHW	BETA-LACTAM	bla-B	2	2	2	2	2	2	2	2	2	2	2	2	2
blaSMB	BETA-LACTAM	bla-B	0	1	1	1	1	1	1	1	1	1	1	1	1
blaSPR	BETA-LACTAM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1
blaTEM	BETA-LACTAM	bla-A	54	58	65	71	76	81	82	89	99	104	108	109	111
blaVHH	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaVHW	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaTER	BETA-LACTAM	bla-A	2	2	2	2	2	2	2	2	2	2	2	2	2
blaTLA	BETA-LACTAM	bla-A	1	1	1	1	1	2	2	2	2	2	2	2	2
blaZ_gen	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
cfiA_fam	CARBAPENEM	bla-B	8	8	8	8	8	9	15	15	17	17	18	18	18
cphA	CARBAPENEM	bla-B	9	9	9	9	9	9	9	9	9	9	9	9	9
blaVIM	CARBAPENEM	bla-B	24	27	32	37	38	46	51	53	60	67	72	78	78
blaZOG	CARBAPENEM	bla-B	0	1	1	1	1	1	1	1	1	1	1	1	1
blaTMB	CARBAPENEM	bla-B	0	1	2	2	2	2	2	2	2	2	2	2	2
blaTRU	CARBAPENEM	bla-C	1	1	1	1	1	1	1	1	1	1	1	1	1
blaTTU	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1
blaTUS	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1
blaVCC	CARBAPENEM	bla-A	0	0	0	0	0	1	1	1	1	1	1	1	1
blaSTA	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	1	1	1	1	1
blaSPS	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSPM	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSME	CARBAPENEM	bla-A	4	4	4	4	5	5	5	5	5	5	5	5	5
blaSIM	CARBAPENEM	bla-B	1	1	1	1	1	2	2	2	2	2	2	2	2
blaSHN	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSFC	CARBAPENEM	bla-A	1	1	1	1	1	2	2	2	2	2	2	3	3
blaSFH	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaPST	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	2	2	2	2
blaPNGM	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	1	1	1	1	1
blaPOM	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	2	2	2	2
blaPLN	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1
blaPFM	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	0	3	3	3	3
blaOXA-PR	CARBAPENEM	bla-D	0	0	0	0	0	0	0	1	1	1	2	2	2
blaCVI	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	0	0	1	1	1
blaOXA	CARBAPENEM	bla-D	100	120	139	225	284	328	352	368	385	398	402	415	419
blaORR	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	1	1	1	1	1
blaMOC	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaMUS	CARBAPENEM	bla-B	1	1	1	1	1	2	2	2	2	2	2	2	2
blaMYO	CARBAPENEM	bla-B	0	0	0	0	0	0	0	1	1	1	1	1	1
blaMYX	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaNDM	CARBAPENEM	bla-B	1	4	7	10	12	16	17	21	27	29	32	41	42
blaGES	CARBAPENEM	bla-A	5	5	8	8	9	11	12	13	15	15	15	20	22
blaKPC	CARBAPENEM	bla-A	9	11	11	14	16	20	23	25	30	39	49	70	85
blaGIM	CARBAPENEM	bla-B	1	1	1	1	2	2	2	2	2	2	2	2	2
blaGOB	CARBAPENEM	bla-B	12	12	12	12	16	19	25	43	47	51	51	51	51
blaGPC	CARBAPENEM	bla-A	0	0	0	0	0	0	0	0	1	1	1	1	1
blaHMB	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaIMI	CARBAPENEM	bla-A	4	4	4	5	7	9	12	16	17	19	20	22	23
blaIMP	CARBAPENEM	bla-B	30	33	42	44	45	51	60	63	73	80	85	86	91
blaIND	CARBAPENEM	bla-B	16	16	16	16	16	17	17	17	17	17	17	17	17
blaJOHN	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1
blaKHM	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1
blaFPH	CARBAPENEM	bla-A	0	0	0	0	0	1	1	1	1	1	1	1	1
blaFRI	CARBAPENEM	bla-A	0	0	0	0	0	1	2	5	7	10	11	12	12
blaFEZ	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1
blaFIA	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1
blaFIM	CARBAPENEM	bla-B	0	0	1	1	1	1	1	1	1	1	1	1	1
blaESP	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1
blaEVM	CARBAPENEM	bla-B	0	0	1	1	1	1	1	1	1	1	1	1	1
blaECM	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	1	1	1	1	1
blaECV	CARBAPENEM	bla-B	0	0	1	1	1	1	1	1	1	1	1	1	1
blaEFM	CARBAPENEM	bla-B	0	0	1	1	1	1	1	1	1	1	1	1	1
blaELM	CARBAPENEM	bla-B	0	0	1	1	1	1	1	1	1	1	1	1	1
blaCRH	CARBAPENEM	bla-A	0	0	0	0	0	1	1	3	3	3	3	3	3
blaCRP	CARBAPENEM	bla-A	0	0	0	0	1	1	1	1	1	1	1	1	1
blaDIM	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1
blaEAM	CARBAPENEM	bla-B	0	0	1	1	1	1	1	1	1	1	1	1	1
blaEBR	CARBAPENEM	bla-B	1	1	1	1	1	2	2	2	2	3	4	4	4
blaCPS	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1
blaBIC	CARBAPENEM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaBJP	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	1	1
blaBKC	CARBAPENEM	bla-A	0	0	0	0	0	1	1	1	1	1	2	2	2
blaCAM	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	1	1	1	1	1
blaAXC	CARBAPENEM	bla-A	0	0	0	0	0	0	0	1	3	5	5	7	7
blaB	CARBAPENEM	bla-B	8	8	8	8	10	12	14	35	36	37	37	38	38
blaADC	CARBAPENEM	bla-C	0	0	0	1	1	1	1	1	1	1	1	1	1
blaALI	CARBAPENEM	bla-B	0	0	0	0	1	1	2	2	2	2	2	2	2
blaANA	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1
blaAFM	CARBAPENEM	bla-B	0	0	0	0	0	0	0	0	1	1	2	3	4
blaAIM	CARBAPENEM	bla-B	1	1	1	1	1	1	1	1	1	1	1	2	2
blaACT	CEPHALOSPORIN	bla-C	17	19	24	28	54	59	76	79	90	100	108	120	124
blaACC	CEPHALOSPORIN	bla-C	6	6	6	6	7	7	7	8	8	8	9	9	9
blaACI	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaADC	CEPHALOSPORIN	bla-C	43	46	60	83	94	102	129	175	186	225	228	237	239
blaBEL	CEPHALOSPORIN	bla-A	3	3	3	3	3	3	4	4	4	4	4	4	4
blaBES	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaCFE	CEPHALOSPORIN	bla-C	1	1	1	1	1	1	1	1	2	2	2	2	2
blaCGA	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaCIA	CEPHALOSPORIN	bla-A	0	4	4	4	4	4	4	4	4	4	4	4	4
blaCMY	CEPHALOSPORIN	bla-C	54	62	83	94	109	126	135	148	153	160	163	168	169
blaCME	CEPHALOSPORIN	bla-A	2	2	2	2	2	2	2	2	2	2	2	3	3
blaEC	CEPHALOSPORIN	bla-C	6	6	6	6	6	6	6	6	6	6	6	6	6
blaCSP	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaCTX-M	CEPHALOSPORIN	bla-A	100	112	125	132	142	160	175	193	211	222	232	237	237
blaERP	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaDHA	CEPHALOSPORIN	bla-C	7	8	8	8	20	21	23	24	27	28	28	28	28
blaFOX	CEPHALOSPORIN	bla-C	7	8	8	9	10	10	12	13	14	14	15	17	17
blaKLUC	CEPHALOSPORIN	bla-A	2	2	4	4	4	4	4	4	5	5	5	5	5
blaKPC	CEPHALOSPORIN	bla-A	0	1	2	2	2	2	5	6	8	14	28	33	35
blaGES	CEPHALOSPORIN	bla-A	11	12	14	15	15	18	20	20	25	28	31	31	32
blaMOX	CEPHALOSPORIN	bla-C	14	14	14	15	17	19	19	20	20	21	21	23	23
blaOCH	CEPHALOSPORIN	bla-C	8	8	8	8	8	8	8	8	8	8	8	8	8
blaOHIO	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaLUT	CEPHALOSPORIN	bla-A	6	6	6	6	6	6	6	6	6	6	6	6	6
blaMIR	CEPHALOSPORIN	bla-C	5	5	6	6	16	17	20	21	21	21	21	21	21
blaLAT	CEPHALOSPORIN	bla-C	2	2	2	2	2	2	2	2	2	2	2	2	2
blaLRG	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOXA	CEPHALOSPORIN	bla-D	18	19	19	19	21	21	22	24	28	29	29	29	29
blaOXY	CEPHALOSPORIN	bla-A	0	0	0	0	1	1	1	1	1	1	1	1	1
blaOXA-PR	CEPHALOSPORIN	bla-D	2	2	2	2	2	2	2	2	2	2	2	2	2
blaPAC	CEPHALOSPORIN	bla-C	0	0	0	0	1	1	1	1	1	1	1	1	1
blaPER	CEPHALOSPORIN	bla-A	6	8	9	9	10	10	11	12	12	14	15	16	16
blaPME	CEPHALOSPORIN	bla-A	0	1	1	1	1	1	1	1	1	1	1	1	1
blaPDC_gen	CEPHALOSPORIN	bla-C	21	33	33	34	73	76	157	210	300	370	447	490	498
blaRAHN	CEPHALOSPORIN	bla-A	2	2	2	2	2	2	2	2	2	2	2	2	2
blaROB	CEPHALOSPORIN	bla-A	1	1	1	2	5	5	5	7	9	10	10	12	12
blaRTG	CEPHALOSPORIN	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaSHV	CEPHALOSPORIN	bla-A	43	44	52	53	55	55	55	55	56	57	57	57	57
blaSRT	CEPHALOSPORIN	bla-C	3	3	3	3	3	3	3	4	4	4	4	5	5
blaTEM	CEPHALOSPORIN	bla-A	75	77	79	82	82	85	86	87	87	87	87	87	87
blaVEB	CEPHALOSPORIN	bla-A	9	9	9	10	10	16	18	19	21	25	27	30	30
cepA	CEPHALOSPORIN	bla-A	3	3	3	3	3	3	3	3	3	3	3	3	3
blaCSA	CEPHALOTHIN	bla-C	0	0	0	2	2	2	2	2	2	2	2	2	2
blaCMA	CEPHALOTHIN	bla-C	0	0	0	2	2	2	2	2	2	2	2	2	2
blaOXA-1_fam	BETA-LACTAM	bla-D	3	5	5	6	6	6	7	7	8	8	9	10	10
blaRSD1	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	1	1	1	1	1
blaOXY-1	BETA-LACTAM	bla-A	5	5	5	5	5	5	5	5	5	5	5	5	5
blaPEDO-1_fam	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1
blaSPG-1_fam	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1
blaMSI-1_fam	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaCAU/MBL1b	CARBAPENEM	bla-B	2	2	2	2	2	2	2	2	2	2	2	2	2
blaOXA-1_fam	CEPHALOSPORIN	bla-D	2	2	2	2	2	2	2	2	2	2	2	2	2
blaRSC1	CEPHALOSPORIN	bla-C	0	0	0	0	0	0	0	0	1	1	1	1	1
blaRSD2	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	1	1	1	1	1
blaOXY-2	BETA-LACTAM	bla-A	11	11	14	14	14	14	14	14	14	14	14	14	14
blaTLA2	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOXA-2_fam	BETA-LACTAM	bla-D	4	5	5	5	7	7	7	7	8	9	9	11	15
blaDHT2	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaPEDO-2_fam	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1
blaRSA2	CARBAPENEM	bla-A	0	0	0	0	0	0	0	0	1	1	1	1	1
blaRSD2	CEPHALOSPORIN	bla-D	0	0	0	0	0	0	0	0	1	1	1	1	1
blaOXY-2	CEPHALOSPORIN	bla-A	0	0	0	0	1	1	1	1	1	1	1	1	1
blaOXA-2_fam	CEPHALOSPORIN	bla-D	6	6	6	6	6	6	7	9	10	10	10	10	10
blaOXY-3	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaPEDO-3_fam	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1
blaCRD3	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaOXY-4	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOXY-5	BETA-LACTAM	bla-A	2	2	2	2	2	2	2	2	2	2	2	2	2
blaOXA-5_fam	BETA-LACTAM	bla-D	2	2	2	2	2	2	2	2	2	2	2	2	2
blaOXY-6	BETA-LACTAM	bla-A	4	4	4	4	4	4	4	4	4	4	4	4	4
blaALG6	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaADC-8_fam	CEPHALOSPORIN	bla-C	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOXA-10_fam	BETA-LACTAM	bla-D	5	8	9	9	9	10	12	13	16	22	24	26	28
blaOXA-10_fam	CARBAPENEM	bla-D	0	0	0	0	1	1	1	1	1	1	1	1	1
blaOXA-10_fam	CEPHALOSPORIN	bla-D	10	10	10	10	11	11	11	11	13	14	14	14	14
blaALG11	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaOXA-12_fam	BETA-LACTAM	bla-D	3	3	3	3	3	3	3	4	4	4	5	9	9
blaOXA-22_fam	BETA-LACTAM	bla-D	1	1	1	1	1	2	2	2	5	5	6	6	6
blaOXA-23_fam	CARBAPENEM	bla-D	14	15	16	17	20	25	25	26	27	40	41	45	46
blaGRD23	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaOXA-24_fam	CARBAPENEM	bla-D	6	6	7	7	7	8	8	8	9	9	10	11	12
blaGRD33	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaOXA-46_fam	BETA-LACTAM	bla-D	3	4	4	4	4	4	4	4	5	6	6	6	6
blaOXA-48_fam	BETA-LACTAM	bla-D	0	0	0	0	0	1	7	11	12	16	24	26	27
blaOXA-48_fam	CARBAPENEM	bla-D	4	4	6	10	12	16	17	17	17	17	17	17	17
blaOXA-48_fam	CEPHALOSPORIN	bla-D	0	1	1	1	2	2	2	2	2	2	2	2	2
blaOXA-50_fam	BETA-LACTAM	bla-D	4	4	4	6	7	7	7	7	7	13	24	43	43
blaOXA-51_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	4	91	140	144	157	188
blaOXA-51_fam	CARBAPENEM	bla-D	66	80	87	100	141	156	172	181	182	182	182	182	182
blaOXA-55_fam	BETA-LACTAM	bla-D	1	1	1	1	1	1	1	1	1	1	1	7	7
blaOXA-55_fam	CARBAPENEM	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOXA-58_fam	CARBAPENEM	bla-D	4	4	4	4	6	6	7	7	7	7	7	7	7
blaOXA-60_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	0	0	1	1	1
blaOXA-60_fam	CARBAPENEM	bla-D	1	1	1	1	1	2	2	2	5	5	5	5	5
blaOXA-61_fam	BETA-LACTAM	bla-D	2	2	3	3	3	9	9	9	49	49	49	49	49
blaOXA-62_fam	CARBAPENEM	bla-D	1	1	1	1	1	10	10	10	10	10	10	10	10
blaOXA-63_fam	BETA-LACTAM	bla-D	4	5	5	5	5	14	14	14	14	14	14	14	23
blaSPN79	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaOXA-85_fam	BETA-LACTAM	bla-D	0	0	0	0	1	1	1	1	1	1	1	1	1
blaOXA-114_fam	BETA-LACTAM	bla-D	7	7	14	21	21	21	23	23	23	26	26	26	26
blaOXA-134_fam	CARBAPENEM	bla-D	1	1	5	16	16	17	18	18	21	21	22	24	24
blaOXA-143_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	0	1	1	2	2
blaOXA-143_fam	CARBAPENEM	bla-D	2	2	3	5	5	6	6	6	7	7	7	7	7
blaOXA-184_fam	BETA-LACTAM	bla-D	0	0	2	2	2	8	8	8	39	39	39	39	39
blaOXA-211_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	1	1	5	5	5	6	6
blaOXA-211_fam	CARBAPENEM	bla-D	0	2	2	7	8	9	10	10	11	11	11	11	11
blaOXA-213_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	3	6	22	22	41	41
blaOXA-213_fam	CARBAPENEM	bla-D	0	1	1	31	33	37	41	43	44	44	44	44	44
blaOXA-214_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	0	1	2	2	2
blaOXA-214_fam	CARBAPENEM	bla-D	0	2	2	4	4	4	4	4	5	5	5	5	5
blaOXA-229_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	0	1	3	7	7
blaOXA-229_fam	CARBAPENEM	bla-D	0	0	3	8	9	9	9	9	9	9	9	9	9
blaOXA-266_fam	BETA-LACTAM	bla-D	0	0	0	1	1	1	1	1	2	2	2	2	2
blaOXA-274_fam	CARBAPENEM	bla-D	0	0	0	2	4	5	5	5	5	5	5	5	5
blaOXA-286_fam	CARBAPENEM	bla-D	0	0	0	10	13	13	13	15	15	15	15	15	15
blaOXA-364_fam	BETA-LACTAM	bla-D	0	0	1	1	1	2	3	3	3	5	5	5	5
blaOXA-372_fam	CARBAPENEM	bla-D	0	0	0	0	1	1	1	1	2	2	2	3	3
blaOXA-493_fam	BETA-LACTAM	bla-D	0	0	0	0	0	1	2	2	2	2	2	2	2
blaOXA-542_fam	CARBAPENEM	bla-D	0	0	0	0	0	0	0	1	1	1	1	1	1
blaOXA-548_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	6	6	6	6	6	6
blaOXA-576_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	1	1	1	1	1	1
blaOXA-727_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	2	2	2	2	2

